MJD,Phase,Instrument,Telescope,Band,mag,e_mag,Delta,Ref,Used,Average,Repeated,Outlier,Excluded
57982.981,0.452,E2V4kx4kccd,Swope,i,17.48,0.02,0.0,2017arXiv171005452C,*,,,,
57982.99,0.461,FourStar,Magellan,H,18.26,0.15,0.0,2017arXiv171005443D,*,,,,
57982.993,0.464,AltaU47+,Prompt5,r,17.46,0.03,0.0,2017ApJ...848L..24V,*,,,,
57982.999,0.47,VIRCAM,VISTA,Ks,18.62,0.05,0.0,2017ApJ...848L..27T,*,,,,
57983.0,0.471,FourStar,Magellan,J,17.83,0.15,0.0,2017arXiv171005443D,*,,,,
57983.0,0.471,LDSS,Magellan,V,17.35,0.02,0.0,2017arXiv171005443D,*,,,,
57983.0,0.471,LDSS,Magellan,r,17.33,0.02,0.0,2017arXiv171005443D,*,,,,
57983.0,0.471,LDSS,Magellan,z,17.67,0.03,0.0,2017arXiv171005443D,*,,,,
57983.001,0.472,MASTER,OAFA,W,17.5,0.2,0.0,2017ApJ...850L...1L,*,,,,
57983.003,0.474,DECam,Blanco/CTIO,i,17.48,0.03,0.0,2017ApJ...848L..17C,*,,,,
57983.004,0.475,DECam,Blanco/CTIO,z,17.59,0.03,0.0,2017ApJ...848L..17C,*,,,,
57983.006,0.477,LDSS,Magellan,g,17.41,0.02,0.0,2017arXiv171005443D,*,,,,
57983.009,0.48,VIRCAM,VISTA,J,17.88,0.03,0.0,2017ApJ...848L..27T,*,,,,
57983.011,0.482,LDSS,Magellan,g,17.41,0.04,0.0,2017arXiv171005443D,*,,,,
57983.011,0.482,Sinistro,LCO1m,w,17.49,0.04,0.0,2017Natur.551...64A,X,,,,
57983.014,0.485,LDSS,Magellan,g,17.39,0.02,0.0,2017arXiv171005443D,*,,,,
57983.015,0.486,MASTER,OAFA,W,17.1,0.2,0.0,2017ApJ...850L...1L,*,,,,
57983.019,0.49,VIRCAM,VISTA,Y,17.46,0.01,0.0,2017ApJ...848L..27T,*,,,,
57983.028,0.499,AltaU47+,Prompt5,r,17.56,0.04,0.0,2017ApJ...848L..24V,*,,,,
57983.029,0.5,VIRCAM,VISTA,Ks,18.64,0.06,0.0,2017ApJ...848L..27T,*,,,,
57983.03,0.501,FourStar,Magellan,Ks,18.41,0.15,0.0,2017arXiv171005443D,*,,,,
57983.039,0.51,VIRCAM,VISTA,J,17.82,0.03,0.0,2017ApJ...848L..27T,*,,,,
57983.05,0.521,ROS2,REM,g,17.32,0.07,0.0,2017Natur.551...67P,*,,,,
57983.05,0.521,ROS2,REM,i,16.98,0.05,0.0,2017Natur.551...67P,*,,,,
57983.05,0.521,ROS2,REM,r,17.14,0.08,0.0,2017Natur.551...67P,*,,,,
57983.05,0.521,ROS2,REM,z,16.85,0.1,0.0,2017Natur.551...67P,*,O,,,
57983.059,0.53,FLAMINGOS-2,Gemini-S,Ks,18.42,0.04,0.0,2017arXiv171005436K,*,,,,
57983.156,0.627,UVOT,Swift,M2,21.12,0.22,0.0,2017arXiv171005437E,*,,,,
57983.162,0.633,UVOT,Swift,W1,19.46,0.11,0.0,2017arXiv171005437E,*,,,,
57983.167,0.638,UVOT,Swift,U,18.19,0.09,0.0,2017arXiv171005437E,*,,,,
57983.172,0.643,UVOT,Swift,W2,21.13,0.23,0.0,2017arXiv171005437E,*,,,,
57983.229,0.7,HSC,Subaru,z,17.4,0.01,0.0,2017arXiv171005848U,*,,,,
57983.231,0.702,GFC,Pan-STARRS,i,17.24,0.06,0.0,2017Natur.551...75S,*,,,,
57983.231,0.702,GFC,Pan-STARRS,y,17.38,0.1,0.0,2017Natur.551...75S,*,,,,
57983.231,0.702,GFC,Pan-STARRS,z,17.26,0.06,0.0,2017Natur.551...75S,*,,,,
57983.382,0.853,Sinistro,LCO1m,w,17.31,0.04,0.0,2017Natur.551...64A,X,,,,
57983.387,0.858,Skymapper,Skymapper,i,17.42,0.05,0.0,2017arXiv171005846A,*,,,,
57983.401,0.872,Sinistro,LCO1m,g,17.28,0.12,-0.04,2017Natur.551...64A,*,,,,
57983.405,0.876,Sinistro,LCO1m,r,17.2,0.02,-0.02,2017Natur.551...64A,*,,,,
57983.419,0.89,Skymapper,Skymapper,r,17.32,0.07,0.0,2017arXiv171005846A,*,,,,
57983.421,0.892,Skymapper,Skymapper,g,17.46,0.08,0.0,2017arXiv171005846A,*,,,,
57983.55,1.021,10k10kccd,AST3-2,i,17.14,0.13,-0.09,2017arXiv171005462H,*,,,,
57983.569,1.04,UVOT,Swift,W1,20.21,0.21,0.0,2017arXiv171005437E,*,,,,
57983.572,1.042,UVOT,Swift,U,19.0,0.16,0.0,2017arXiv171005437E,*,,,,
57983.594,1.065,10k10kccd,AST3-2,i,17.48,0.07,-0.13,2017arXiv171005462H,*,,,,
57983.594,1.065,UVOT,Swift,M2,22.52,0.5,0.0,2017arXiv171005437E,*,,,,
57983.625,1.096,10k10kccd,AST3-2,i,17.58,0.09,-0.14,2017arXiv171005462H,*,,,,
57983.699,1.17,SIRIUS,IRSF,H,17.64,0.04,0.0,2017arXiv171005848U,*,,,,
57983.699,1.17,SIRIUS,IRSF,J,17.51,0.03,0.0,2017arXiv171005848U,*,,,,
57983.699,1.17,SIRIUS,IRSF,Ks,17.91,0.05,0.0,2017arXiv171005848U,*,,,,
57983.717,1.188,MASTER,SAAO,W,17.3,0.2,0.0,2017ApJ...850L...1L,*,,,,
57983.719,1.19,-,KMTNet-SAAO,B,18.47,0.11,0.0,2017Natur.551...71T,*,,,,
57983.719,1.19,-,KMTNet-SAAO,I,17.58,0.1,0.0,2017Natur.551...71T,*,,,,
57983.719,1.19,-,KMTNet-SAAO,R,17.65,0.05,0.0,2017Natur.551...71T,*,,,,
57983.719,1.19,-,KMTNet-SAAO,V,17.81,0.04,0.0,2017Natur.551...71T,*,,,,
57983.726,1.197,MASTER,SAAO,R,17.0,0.2,0.0,2017ApJ...850L...1L,*,O,,,
57983.733,1.204,Sinistro,LCO1m,w,17.95,0.04,0.0,2017Natur.551...64A,X,,,,
57983.736,1.207,MASTER,SAAO,B,18.1,0.1,0.0,2017ApJ...850L...1L,*,,,,
57983.741,1.212,Sinistro,LCO1m,r,17.75,0.02,-0.03,2017Natur.551...64A,*,,,,
57983.745,1.216,Sinistro,LCO1m,g,18.05,0.12,-0.07,2017Natur.551...64A,*,,,,
57983.758,1.229,-,1.5B,r,17.89,0.03,0.0,2017Natur.551...75S,*,,,,
57983.964,1.435,EFOSC2,NTT,V,18.22,0.08,0.0,2017arXiv171005443D,*,,,,
57983.968,1.439,T80Cam,T80S,g,18.43,0.06,0.0,2017arXiv171005437E,*,,,,
57983.968,1.439,Sinistro,LCO1m,w,18.23,0.04,0.0,2017Natur.551...64A,X,,,,
57983.969,1.44,EFOSC2,NTT,V,18.16,0.05,0.0,2017arXiv171005443D,*,,,,
57983.969,1.44,GROND,LaSilla,H,17.64,0.08,0.0,2017Natur.551...75S,*,,,,
57983.969,1.44,GROND,LaSilla,J,17.58,0.07,0.0,2017Natur.551...75S,*,,,,
57983.969,1.44,GROND,LaSilla,K,17.85,0.15,-0.29,2017Natur.551...75S,*,,,,
57983.969,1.44,GROND,LaSilla,g,18.49,0.04,0.0,2017Natur.551...75S,*,,,,
57983.969,1.44,GROND,LaSilla,i,17.85,0.05,0.0,2017Natur.551...75S,*,,,,
57983.969,1.44,GROND,LaSilla,r,17.99,0.01,0.0,2017Natur.551...75S,*,,,,
57983.969,1.44,GROND,LaSilla,z,17.72,0.03,0.0,2017Natur.551...75S,*,,,,
57983.969,1.44,FORS,VLT,r,17.69,0.02,0.0,2017ApJ...848L..27T,*,,,,
57983.97,1.441,EFOSC2,NTT,V,18.13,0.08,0.0,2017arXiv171005443D,*,,,,
57983.972,1.443,Sinistro,LCO1m,i,17.88,0.1,-0.25,2017Natur.551...64A,*,,,,
